X_0,pClass,Sex,Age,Sibsp,Fare,Embarked,relatives,Deck,Title,Age-class,Fare perperson,Title^2,hypotheseis,prediction,actual
1,3,0,2,0,0,0,0,6,1,6,0,1,0.1085106501,0,0
1,3,1,1,0,1,0,0,8,2,3,1,4,0.5930486602,1,1
1,1,1,3,0,3,1,0,2,3,3,3,9,0.7905758899,1,1
1,3,0,5,0,1,0,0,8,1,15,1,1,0.1069520154,0,0
1,2,1,5,0,1,0,0,8,2,10,1,4,0.6448510678,1,1
1,3,1,2,0,0,2,0,8,2,6,0,4,0.6972326916,1,0
1,2,0,2,0,1,0,0,8,1,4,1,1,0.1172132058,0,0
1,2,1,4,0,2,0,2,8,3,8,0,9,0.7566544806,1,1
1,2,1,4,1,2,0,2,8,3,8,0,9,0.7523770584,1,1
1,2,0,5,0,1,0,0,8,1,10,1,1,0.1258433499,0,0
1,1,1,5,0,4,1,0,3,2,5,4,4,0.7907971488,1,1
1,3,0,3,0,0,0,0,8,1,9,0,1,0.1007484154,0,0
1,2,1,0,0,3,0,1,8,2,0,1,4,0.6487872538,1,1
1,1,1,6,1,3,0,2,4,3,6,1,9,0.786912265,1,1
1,2,0,4,0,1,0,0,8,1,8,1,1,0.1247782878,0,0
1,1,1,5,0,5,1,0,8,2,5,5,4,0.7697853768,1,1
1,1,1,2,1,3,0,1,3,3,2,1,9,0.7611964349,1,1
1,3,1,1,1,1,1,1,8,2,3,0,4,0.6140132154,1,1
1,3,1,1,0,2,1,2,8,3,3,0,9,0.7288977398,1,1
1,3,0,3,0,2,2,0,8,1,9,2,1,0.1405915138,0,0
1,1,1,5,0,4,0,0,3,2,5,4,4,0.7842643127,1,1
1,3,0,3,0,0,0,0,8,1,9,0,1,0.1007484154,0,0
1,3,1,1,0,0,2,0,8,2,3,0,4,0.6994301806,1,1
1,1,0,4,1,3,1,1,8,1,4,1,1,0.2269863447,0,0
1,2,1,6,0,2,0,1,8,3,12,1,9,0.7762130131,1,1
1,3,0,2,0,0,0,0,8,1,6,0,1,0.0975127476,0,0
1,1,1,5,1,3,1,1,3,3,5,1,9,0.7877428703,1,1
1,2,1,3,1,2,0,2,8,2,6,0,4,0.5954771197,1,1
1,3,0,5,0,1,0,0,8,1,15,1,1,0.1069520154,0,0
1,2,0,5,0,2,0,0,8,1,10,2,1,0.13033611,0,0
1,3,0,5,0,0,0,0,8,1,15,0,1,0.1010544519,0,0
1,3,0,4,2,0,0,2,8,1,12,0,1,0.0922041715,0,0
1,2,1,4,0,1,0,0,8,2,8,1,4,0.6654102956,1,1
1,1,1,2,0,3,1,2,2,2,2,1,4,0.7663627775,1,1
1,3,1,4,1,2,0,1,8,3,12,1,9,0.7513580434,1,1
1,3,0,3,0,0,0,0,8,1,9,0,1,0.1007484154,0,0
1,2,0,5,0,1,1,0,4,1,10,1,1,0.2105447603,0,0
1,3,0,6,0,1,0,0,8,1,18,1,1,0.1061276292,0,0
1,3,0,5,0,1,0,0,8,1,15,1,1,0.1069520154,0,0
1,3,0,2,0,1,0,0,8,1,6,1,1,0.1041272158,0,0
1,3,0,2,0,0,0,0,8,1,6,0,1,0.0975127476,0,0
1,2,0,3,2,3,0,2,8,1,6,1,1,0.1030410275,0,0
1,3,0,0,5,3,0,7,8,4,0,0,16,0.6456788639,1,0
1,3,0,4,0,0,2,0,8,1,12,0,1,0.1236417551,0,0
1,3,0,1,0,0,0,0,8,1,3,0,1,0.0928693893,0,0
1,3,0,4,0,0,0,0,8,1,12,0,1,0.1014085316,0,0
1,1,1,1,0,3,0,1,4,2,1,1,4,0.7396259106,1,1
1,3,0,0,1,2,0,3,8,4,0,0,16,0.683552906,1,1
1,3,0,3,0,1,0,0,8,1,9,1,1,0.1073375505,0,0
1,1,0,5,1,3,0,2,4,1,5,1,1,0.2763745996,0,1
1,1,1,6,0,4,1,0,8,2,6,4,4,0.771669895,1,1
1,3,0,3,1,0,0,1,8,1,9,0,1,0.094235031,0,0
1,1,0,6,0,2,1,0,1,1,6,2,1,0.5686481106,1,0
1,3,0,2,0,0,2,0,8,1,6,0,1,0.1357130535,0,0
1,3,0,2,0,0,0,0,8,1,6,0,1,0.0975127476,0,0
1,3,0,2,0,1,0,0,8,1,6,1,1,0.1041272158,0,0
1,3,0,6,0,0,0,0,8,1,18,0,1,0.1005064618,0,0
1,2,0,6,0,1,0,0,8,1,12,1,1,0.1257894091,0,0
1,3,0,4,0,3,0,0,8,1,12,3,1,0.1174941476,0,1
1,3,0,5,0,0,0,0,8,1,15,0,1,0.1010544519,0,0
1,3,0,2,0,1,0,0,8,1,6,1,1,0.1041272158,0,0
1,3,0,6,0,1,0,0,8,1,18,1,1,0.1061276292,0,0
1,1,0,5,0,2,1,0,8,5,5,2,25,0.7325207237,1,0
1,3,0,6,0,0,0,0,8,1,18,0,1,0.1005064618,0,0
1,3,0,2,0,0,0,0,8,1,6,0,1,0.0975127476,0,0
1,2,1,1,0,1,1,0,8,2,2,1,4,0.7057789596,1,1
1,3,0,2,0,0,1,0,8,1,6,0,1,0.1113677014,0,1
1,3,1,4,0,0,1,0,8,3,12,0,9,0.7496612292,1,1
1,1,0,5,0,3,0,0,8,1,5,3,1,0.2059867256,0,0
1,3,0,6,0,1,0,0,8,1,18,1,1,0.1061276292,0,0
1,1,1,1,0,4,0,1,2,2,1,2,4,0.762712947,1,1
1,3,1,4,0,0,2,0,8,2,12,0,4,0.6269452975,1,0
1,1,0,6,0,2,0,0,2,5,6,2,25,0.7306878252,1,0
1,3,0,3,0,0,0,0,8,1,9,0,1,0.1007484154,0,1
1,3,0,1,1,1,1,1,8,4,3,0,16,0.7147936213,1,1
1,1,0,6,2,3,2,2,3,5,6,1,25,0.7272033323,1,0
1,3,0,3,0,0,0,0,8,1,9,0,1,0.1007484154,0,0
1,1,1,6,1,3,1,1,4,3,6,1,9,0.7919555349,1,1
1,3,1,4,3,2,0,3,8,3,12,0,9,0.7283001151,1,1
1,2,0,5,0,1,0,0,8,1,10,1,1,0.1258433499,0,0
1,3,0,2,0,0,1,0,8,1,6,0,1,0.1113677014,0,0
1,1,0,6,1,4,1,2,3,1,6,1,1,0.4326393897,0,0
1,2,1,3,2,2,0,5,8,3,6,0,9,0.704479932,1,1
1,2,0,4,1,2,1,1,8,1,8,1,1,0.1364325375,0,0
1,1,0,5,0,2,1,0,8,1,5,2,1,0.2931083502,0,0
1,3,0,5,0,0,0,0,8,1,15,0,1,0.1010544519,0,0
1,3,0,3,0,0,1,0,8,1,9,0,1,0.1118432792,0,0
1,3,0,3,0,0,0,0,8,1,9,0,1,0.1007484154,0,1
1,1,0,6,0,3,0,0,2,1,6,3,1,0.4378250512,0,0
1,1,1,6,0,4,0,1,2,3,6,2,9,0.79553574,1,1
1,3,0,4,0,1,0,0,8,1,12,1,1,0.107661485,0,0
1,3,1,0,3,2,0,4,8,2,0,0,4,0.4191108746,0,0
1,1,0,6,0,3,0,0,3,1,6,3,1,0.400448495,0,0
1,2,1,6,0,1,0,0,8,2,12,1,4,0.6149320364,1,1
1,1,1,2,2,5,1,4,2,2,2,1,4,0.7439603851,1,1
1,3,0,6,0,1,0,0,8,1,18,1,1,0.1061276292,0,0
1,3,0,3,0,1,0,0,8,1,9,1,1,0.1073375505,0,0
1,3,0,4,0,0,0,0,8,1,12,0,1,0.1014085316,0,0
1,3,0,1,0,1,0,0,8,1,3,1,1,0.0990067085,0,0
1,3,0,4,0,0,0,0,8,1,12,0,1,0.1014085316,0,1
1,2,1,4,0,1,0,0,8,2,8,1,4,0.6654102956,1,1
1,2,1,6,1,2,0,1,8,3,12,1,9,0.773204968,1,0
1,3,1,2,0,0,2,0,8,2,6,0,4,0.6972326916,1,1
1,3,0,4,0,0,1,0,8,1,12,0,1,0.109993391,0,0
1,3,0,3,0,0,0,0,8,1,9,0,1,0.1007484154,0,0
1,3,0,1,4,3,0,5,8,1,3,0,1,0.0744164537,0,0
1,3,1,0,2,2,1,3,8,2,0,0,4,0.5743341878,1,1
1,1,1,2,1,3,1,1,2,3,2,1,9,0.7672280213,1,1
1,2,0,6,1,2,0,2,8,1,12,0,1,0.1142227377,0,0
1,1,0,5,0,2,0,0,5,1,5,2,1,0.3149660638,0,1
1,3,1,3,0,0,2,0,8,2,9,0,4,0.6743087219,1,0
1,3,0,1,0,1,0,0,8,1,3,1,1,0.0990067085,0,1
1,3,0,1,1,0,1,2,8,1,3,0,1,0.0925297721,0,0
1,3,0,2,1,0,0,1,8,1,6,0,1,0.0887142463,0,1
1,2,1,3,0,1,0,2,8,3,6,0,9,0.742435892,1,1
1,1,0,5,0,0,0,0,8,1,5,0,1,0.2007530689,0,0
1,3,0,1,1,3,0,4,8,1,3,0,1,0.0817951303,0,0
1,3,0,4,0,0,0,0,8,1,12,0,1,0.1014085316,0,0
1,3,0,1,0,1,1,0,8,1,3,1,1,0.1161786634,0,0
1,2,1,4,1,2,0,1,8,3,8,1,9,0.7648353307,1,1
1,1,0,4,0,2,0,0,3,1,4,2,1,0.3923583014,0,1
1,3,0,6,0,0,0,0,8,1,18,0,1,0.1005064618,0,0
1,3,1,4,0,2,1,2,8,3,12,0,9,0.7499317135,1,1
1,3,0,2,0,0,0,0,8,1,6,0,1,0.0975127476,0,0
1,3,0,3,0,0,0,0,8,1,9,0,1,0.1007484154,0,0
1,3,0,3,1,0,0,1,8,1,9,0,1,0.094235031,0,0
1,3,0,2,0,1,0,0,8,1,6,1,1,0.1041272158,0,0
1,1,0,5,0,2,0,0,8,1,5,2,1,0.2061748737,0,1
1,3,0,3,1,2,1,2,8,4,9,0,16,0.7223185017,1,1
1,3,0,2,0,1,0,0,8,1,6,1,1,0.1041272158,0,0
1,3,1,5,0,0,2,0,8,2,15,0,4,0.5545413863,1,1
1,1,1,3,1,4,0,3,3,3,3,1,9,0.7643904087,1,0
1,1,0,0,1,4,0,3,2,4,0,1,16,0.7139138052,1,1
1,2,0,5,0,1,0,0,4,1,10,1,1,0.1595514116,0,1
1,3,0,4,0,1,0,0,8,1,12,1,1,0.107661485,0,0
1,1,1,6,0,3,0,0,2,3,6,3,9,0.7976596102,1,1
1,3,0,5,0,0,2,0,8,1,15,0,1,0.1177250646,0,0
1,1,1,6,0,4,0,1,3,3,6,2,9,0.7956676882,1,1
1,3,0,4,0,0,1,0,8,1,12,0,1,0.109993391,0,0
1,2,1,2,1,2,0,2,8,3,4,0,9,0.728534252,1,1
1,2,0,3,0,1,0,0,8,1,6,1,1,0.1216792874,0,0
1,1,0,5,0,2,0,0,1,1,5,2,1,0.4808312799,0,0
1,3,1,0,1,2,0,2,7,2,0,0,4,0.5659508231,1,1
1,2,0,6,0,1,0,0,8,5,12,1,25,0.7183325036,1,0
1,3,1,0,0,1,0,1,8,2,0,0,4,0.5809498195,1,1
1,3,0,4,0,1,0,0,8,1,12,1,1,0.107661485,0,0
1,2,0,4,1,2,0,1,8,1,8,1,1,0.1166133427,0,1
1,3,0,1,0,1,0,0,8,1,3,1,1,0.0990067085,0,0
1,3,0,2,0,0,0,0,8,1,6,0,1,0.0975127476,0,0
